개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,,,,,,정보
3040000,3040000-105-1992-00013,19920429,,01,영업/정상,01,영업,,,,,02 4631196,,143839,서울특별시 광진구 군자동 98번지 ,서울특별시 광진구 군자로 114 (군자동),05006,세종초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,206479.980833988    ,449827.630945538    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,149.51,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1992-00050,19920502,,01,영업/정상,01,영업,,,,,02 4472643,,143875,서울특별시 광진구 자양동 694-1번지 ,서울특별시 광진구 자양로4길 63 (자양동),05114,성동초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,207843.761978087    ,447858.121626521    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,141.75,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1995-00003,19950206,,03,폐업,02,폐업,20150224,,,,0234083386,,143839,서울특별시 광진구 군자동 98번지 ,서울특별시 광진구 능동로 209 (군자동),05006,우정당식당,2015-01-07 14:03:18,I,2018-08-31 23:59:59.0,집단급식소,206479.980833988    ,449827.630945538    ,집단급식소,0,0,기타,기타,,,,,,,,,,N,789.63,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1995-00029,1995-03-24,,01,영업/정상,01,영업,,,,,02 4504408,293.02,143-800,서울특별시 광진구 광장동 21,서울특별시 광진구 워커힐로 177 (광장동),04963,워커힐 구내식당,2023-05-04 10:58:26,U,2022-12-05 00:07:00.0,산업체,209766.973555533,450385.000713887,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1995-00031,19950603,,03,폐업,02,폐업,20010502,,,,02 4530011,,143821,서울특별시 광진구 구의동 206-1번지 ,,,(주)기린어패럴급식소,2002-07-18 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,208205.585337506    ,448879.49402445     ,집단급식소,0,0,기타,기타,,,,,,,,,,N,148.7,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1996-00014,19960320,,03,폐업,02,폐업,20000316,,,,0234363541,,143874,서울특별시 광진구 자양동 680-68번지 ,,,세경건설(주),2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,207391.330183096    ,448120.785876892    ,집단급식소,0,0,기타,기타,,,,,,,,,,N,149.27,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1996-00015,19960429,,03,폐업,02,폐업,20020225,,,,02 4504806,,143800,서울특별시 광진구 광장동 21-0번지 ,,,파라다이스투자개발,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,209766.973555533    ,450385.000713887    ,집단급식소,0,0,기타,기타,,,,,,,,,,N,95.65,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1996-00017,19960611,,03,폐업,02,폐업,20070618,,,,02 4507313,,143812,서울특별시 광진구 광장동 427-0번지 ,,,한국화이자제약주식회사,2001-12-14 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,,,집단급식소,0,0,기타,기타,,,,,,,,,,N,0,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1996-00018,19960611,,03,폐업,02,폐업,19971107,,,,02 4506219,,143813,서울특별시 광진구 광장동 445-0번지 ,,,모터로라코리아,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,,,집단급식소,0,0,기타,기타,,,,,,,,,,N,0,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1996-00020,19960626,,01,영업/정상,01,영업,,,,,0234362419,288.00,143874,서울특별시 광진구 자양동 680-65,서울특별시 광진구 자양로 76 (자양동),05050,동서울우편집중국,2022-11-22 14:27:25,U,2021-10-31 22:04:00.0,공공기관,207521.138593258,448140.060770707,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1996-00022,19960801,,01,영업/정상,01,영업,,,,,02 4466867,39.00,143816,서울특별시 광진구 구의동 16-3번지 ,서울특별시 광진구 워커힐로 93 (구의동),04958,복)한국소아마비협회 집단급식소,2018-10-18 16:41:21,U,2018-10-20 02:36:48.0,사회복지시설,208558.349405792    ,449841.665708031    ,사회복지시설,0,0,기타,기타,상수도전용,,0,,,,,,,N,228.6,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1996-00047,19960318,,01,영업/정상,01,영업,,,,,02 4569119,,143210,서울특별시 광진구 광장동 산 353번지 학생식당 ,서울특별시 광진구 광장로5길 25-1 (광장동, 학생식당),04965,장로회신학대학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,209096.544852183    ,449775.249091958    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,1336.13,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1997-00025,19970507,,03,폐업,02,폐업,20150224,,,,0234083387,,143839,서울특별시 광진구 군자동 98번지 6층 군자관식당 ,서울특별시 광진구 능동로 209, 6층 (군자동, 군자관식당),05006,군자관식당,2014-05-07 16:01:58,I,2018-08-31 23:59:59.0,집단급식소,206479.980833988    ,449827.630945538    ,집단급식소,0,0,기타,기타,,,0,,,,,,,N,151.2,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1998-00004,19980324,,01,영업/정상,01,영업,,,,,0222040451,,143874,서울특별시 광진구 자양동 680-63번지 ,서울특별시 광진구 아차산로 416 (자양동),05050,(주)케이티 광진지사,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,산업체,207770.197118183    ,448131.0613924      ,산업체,0,0,기타,기타,상수도전용,,0,,,,,,,N,153.18,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1998-00005,19980602,,01,영업/정상,01,영업,,,,,0234242517,30.03,143200,서울특별시 광진구 구의동 546-4,서울특별시 광진구 광나루로56길 85 (구의동),05116,롯데쇼핑(주)롯데마트 강변점,2022-04-28 15:03:12,U,2021-12-03 21:00:00.0,산업체,208394.416382167,448165.279999905,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1998-00006,19980630,,03,폐업,02,폐업,19981029,,,,02 4602871,,143838,서울특별시 광진구 군자동 91-18번지 0000동 0000호,,,(주)금흥양행,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,206353.759057723    ,450524.350212167    ,집단급식소,0,0,기타,기타,,,,,,,,,,N,102.65,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1998-00007,19980716,,01,영업/정상,01,영업,,,,,02 4553485,,143815,서울특별시 광진구 광장동 554-0번지 ,서울특별시 광진구 아차산로70길 35 (광장동),04973,서울광남초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,208850.836773289    ,448733.238317161    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,182.46,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1998-00008,1998-07-16,,01,영업/정상,01,영업,,,,,0234364017,127.40,143-891,서울특별시 광진구 중곡동 135-1,서울특별시 광진구 천호대로113길 10 (중곡동),04926,서울용마초등학교,2023-02-01 10:33:54,U,2022-12-02 00:03:00.0,학교,207370.702900355,450635.591175075,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1998-00009,1998-12-17,,03,폐업,02,폐업,2023-02-28,,,,02 4675987,104.52,143-914,서울특별시 광진구 화양동 12-2,서울특별시 광진구 군자로 9 (화양동),05011,서울화양초등학교,2023-02-28 13:21:17,U,2022-12-03 00:03:00.0,학교,206223.556403661,449106.396154674,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1998-00026,19980122,,03,폐업,02,폐업,19990506,,,,02 4522090,,143827,서울특별시 광진구 구의동 253-23번지 0000동 0000호,,,성동소방서,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,207251.455962208    ,449177.767319025    ,집단급식소,0,0,기타,기타,,,,,,,,,,N,96.73,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00001,19990304,,01,영업/정상,01,영업,,,,,02 4538921,,143831,서울특별시 광진구 구의동 587-52번지 ,서울특별시 광진구 강변역로 18 (구의동),05048,구남초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,208035.215425542    ,448348.931454971    ,학교,0,0,기타,기타,상수도전용,,,,,,,,,N,164.7,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00002,19990304,,01,영업/정상,01,영업,,,,,0222019959,116.00,143130,서울특별시 광진구 화양동 산 303-9,서울특별시 광진구 광나루로30길 49 (화양동),05022,서울구의초등학교,2022-05-24 14:36:23,U,2021-12-04 22:06:00.0,학교,206251.308493152,449054.221579216,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00035,19990105,,01,영업/정상,01,영업,,,,,02 4567977,,143816,서울특별시 광진구 구의동 4-5번지 ,서울특별시 광진구 영화사로 111 (구의동),04948,동의초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,208662.721552032    ,450127.957613105    ,학교,0,0,기타,기타,상수도전용,,,,,,,,,N,190.06,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00036,19990129,,01,영업/정상,01,영업,,,,,02 4521542,,143865,서울특별시 광진구 자양동 591-0번지 ,서울특별시 광진구 뚝섬로46길 64 (자양동),05110,서울신자초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,206606.686280733    ,447539.297432489    ,학교,0,0,기타,기타,상수도전용,,,,,,,,,N,171,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00037,19990129,,03,폐업,02,폐업,20090706,,,,02 4465281,,143926,서울특별시 광진구 화양동 303-1번지 ,,,동아자동차운전전문학원,2008-04-22 16:50:47,I,2018-08-31 23:59:59.0,집단급식소,207063.120761284    ,449113.13851035     ,집단급식소,0,0,기타,기타,상수도전용,,,,,,,,,N,125.97,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00038,19990201,,01,영업/정상,01,영업,,,,,02 4476824,,143907,서울특별시 광진구 중곡동 176-1번지 ,서울특별시 광진구 용마산로22길 82 (중곡동),04940,서울용곡초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,207754.354700092    ,451620.795819875    ,학교,0,0,기타,기타,상수도전용,,,,,,,,,N,177.57,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00039,19990203,,01,영업/정상,01,영업,,,,,02 4572244,,143852,서울특별시 광진구 자양동 222-6번지 ,서울특별시 광진구 아차산로44길 26 (자양동),05054,자양초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,206960.736710706    ,448289.47549965     ,학교,0,0,기타,기타,상수도전용,,,,,,,,,N,184.8,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00040,19990203,,01,영업/정상,01,영업,,,,,02 4441349,,143861,서울특별시 광진구 자양동 518-1번지 ,서울특별시 광진구 뚝섬로 561 (자양동),05069,서울동자초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,206363.552453218    ,448036.241411432    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,119.04,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00041,19990203,,01,영업/정상,01,영업,,,,,0222018081,,143861,서울특별시 광진구 자양동 504번지 (구번지506-1) ,서울특별시 광진구 능동로 42 (자양동),05090,신양초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,206045.50034674     ,448041.034363446    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,177.19,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00042,19990209,,01,영업/정상,01,영업,,,,,02 4549664,,143875,서울특별시 광진구 자양동 692-0번지 ,서울특별시 광진구 뚝섬로64길 71 (자양동),05114,양남초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,207861.406883291    ,447614.391868782    ,학교,0,0,기타,기타,상수도전용,,,,,,,,,N,165,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00043,19990209,,01,영업/정상,01,영업,,,,,02 4460811,,143873,서울특별시 광진구 자양동 662-0번지 ,서울특별시 광진구 뚝섬로56길 7 (자양동),05102,서울성자초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,207275.228869216    ,447661.253689863    ,학교,0,0,학교정화(상대),우수,상수도전용,,0,,,,,,,N,173.63,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00044,19990306,,01,영업/정상,01,영업,,,,,02 4661009,,143901,서울특별시 광진구 중곡동 191-69번지 (구번지191-70) ,서울특별시 광진구 동일로72길 43 (중곡동),04907,서울중마초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,206981.334576243    ,451513.905301634    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,155.18,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00045,19990407,,01,영업/정상,01,영업,,,,,02 4552654,,143824,서울특별시 광진구 구의동 238-1번지 ,서울특별시 광진구 광나루로36길 47 (구의동),05038,동국대학교사범대학부속여자고등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,207603.589633807    ,448933.812411749    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,612.96,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00046,19990415,,01,영업/정상,01,영업,,,,,02 4526242,,143861,서울특별시 광진구 자양동 516-2번지 (구번지524) ,서울특별시 광진구 뚝섬로37길 28 (자양동),05069,자양고등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,206312.860783138    ,448104.342759194    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,157.37,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00048,19990527,,03,폐업,02,폐업,20170428,,,,0222042104,,143874,서울특별시 광진구 자양동 680-22번지 ,서울특별시 광진구 아차산로 404 (자양동),05050,서울동부지방법원,2017-04-28 14:23:41,I,2018-08-31 23:59:59.0,집단급식소,207687.311886979    ,448281.453727129    ,집단급식소,0,0,기타,기타,상수도전용,,,,,,,,,N,163.64,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00049,19990723,,03,폐업,02,폐업,20171208,,,,02 4547867,,143874,서울특별시 광진구 자양동 680-22번지 ,서울특별시 광진구 아차산로 404 (자양동),05050,서울동부지방검찰청,2017-12-08 17:01:17,I,2018-08-31 23:59:59.0,공공기관,207687.311886979    ,448281.453727129    ,공공기관,0,0,기타,기타,상수도전용,,0,,,,,,,N,280.76,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00051,19990830,,01,영업/정상,01,영업,,,,,02 4460384,,143815,서울특별시 광진구 광장동 554-11번지 ,서울특별시 광진구 아차산로70길 17-16 (광장동),04973,광남고등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,208956.104187619    ,448778.292074535    ,학교,0,0,기타,기타,상수도전용,,,,,,,,,N,223.38,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00052,19991025,,03,폐업,02,폐업,20191210,,,,0222040446,100.09,143874,서울특별시 광진구 자양동 680-63번지 KT생활관 ,서울특별시 광진구 아차산로 416 (자양동, KT생활관),05050,(재)케이티그룹희망나눔재단 생활관,2019-12-10 14:09:55,U,2019-12-12 02:40:00.0,산업체,207770.197118183    ,448131.0613924      ,산업체,0,0,기타,기타,상수도전용,,0,,,,,,,N,617.25,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00053,19991130,,01,영업/정상,01,영업,,,,,02 4580970,,143811,서울특별시 광진구 광장동 389-1번지 ,서울특별시 광진구 광장로1길 27 (광장동),04966,서울광장초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,208883.452134519    ,449556.063512919    ,학교,0,0,기타,기타,상수도전용,,,,,,,,,N,135,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1999-00054,19991207,,03,폐업,02,폐업,20050311,,,,02 4471435,,143873,서울특별시 광진구 자양동 674-1번지 ,,,광양고등학교,2000-05-26 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,207552.938186686    ,447459.000863516    ,집단급식소,0,0,기타,기타,,,,,,,,,,N,742.38,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2000-00055,20000303,,01,영업/정상,01,영업,,,,,02463 5877,,143900,서울특별시 광진구 중곡동 220-22번지 ,서울특별시 광진구 긴고랑로13길 59 (중곡동),04908,서울중광초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,207219.94952698     ,451432.84775749     ,학교,0,0,기타,기타,상수도전용,,,,,,,,,N,181.25,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2000-00056,20000318,,01,영업/정상,01,영업,,,,,0222041664,,143907,서울특별시 광진구 중곡동 176-124번지 (지번변경) ,서울특별시 광진구 용마산로22길 26 (중곡동,(지번변경)),04939,대원학원(대원고등학교,대원외국어고등학교,대원중학교),2018-03-05 14:03:46,I,2018-08-31 23:59:59.0,학교,207945.402571551    ,451251.231293361    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,495,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2000-00057,20000421,,03,폐업,02,폐업,20130103,,,,0234084083,,143839,서울특별시 광진구 군자동 98-0번지 ,,,진관홀식당,2010-06-23 15:21:41,I,2018-08-31 23:59:59.0,집단급식소,206479.980833988    ,449827.630945538    ,집단급식소,0,0,기타,기타,,,0,,,,,,,N,0,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2000-00058,20000529,,01,영업/정상,01,영업,,,,,02 4611066,,143844,서울특별시 광진구 자양동 57-8번지 ,서울특별시 광진구 자양강변길 73 (자양동),05087,신양중학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,205538.941626715    ,447896.679897146    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,160,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2000-00059,20000608,,01,영업/정상,01,영업,,,,,0234250048,,143875,서울특별시 광진구 자양동 693-0번지 광진중학교구내 ,서울특별시 광진구 뚝섬로64길 45 (자양동,광진중학교구내),05114,광진중학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,207851.615350647    ,447730.434939677    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,162,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2000-00060,20000612,,03,폐업,02,폐업,20130222,,,,02 4502807,,143874,서울특별시 광진구 자양동 680-81번지 3층 ,서울특별시 광진구 자양로 72 (자양동,3층),05050,우정사업정보센터,2010-06-23 15:18:52,I,2018-08-31 23:59:59.0,집단급식소,207617.766676385    ,447999.288389849    ,집단급식소,0,0,기타,기타,,,0,,,,,,,N,432,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2001-00062,20010524,,01,영업/정상,01,영업,,,,,02 4550479,,143907,서울특별시 광진구 중곡동 176-77번지 ,서울특별시 광진구 용마산로22길 76 (중곡동),04940,용곡중학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,207777.999546464    ,451504.924408133    ,학교,,,기타,기타,상수도전용,,0,,,,,,,N,0,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2001-00063,20010612,,03,폐업,02,폐업,20111011,,,,02 4475452,,143811,서울특별시 광진구 광장동 353-0번지 세계교회협력센타(교직원식당) ,,,장로회신학대학교,2010-07-02 14:59:05,I,2018-08-31 23:59:59.0,집단급식소,209096.544852183    ,449775.249091958    ,집단급식소,,,기타,기타,상수도전용,,0,,,,,,,N,0,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2001-00064,2001-09-28,,01,영업/정상,01,영업,,,,,02 4587876,243.00,143-703,서울특별시 광진구 구의동 254-32 광진경찰서,서울특별시 광진구 자양로 167, 광진경찰서 7층 (구의동),05024,광진경찰서,2023-02-23 15:08:55,U,2022-12-01 22:05:00.0,공공기관,207339.698688317,448954.948149117,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2001-00065,20011213,,01,영업/정상,01,영업,,,,,02 4467556,,143861,서울특별시 광진구 자양동 524-10번지 (구번지524) ,서울특별시 광진구 뚝섬로41길 33 (자양동),05069,자양중학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,206490.114529999    ,448125.714908265    ,학교,,,,,상수도전용,,,,,,,,,N,0,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-2002-00001,20020415,,03,폐업,02,폐업,20121116,,,,02 4531275,,143824,서울특별시 광진구 구의동 234-14번지 ,서울특별시 광진구 광나루로 506 (구의동),05031,광진구의한방병원,2012-11-29 15:04:23,I,2018-08-31 23:59:59.0,집단급식소,207501.564265218    ,449169.370576213    ,집단급식소,,,,,상수도전용,,,,,,,,,N,0,,,,,,,,,서울시광진구집단급식소인허가정보.csv
